data-dish,Название,Цена,Изображение,Адрес,Широта,Долгота
8718,2 Воппер Жюльен со скидкой629.99 ₽ Заказать,629.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/7ccabb4a7268410a1066222557b3e98c.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
434,Ангус с Лисичками579.99 ₽ Заказать,579.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/8e1dc6f49e08b52993d716f59c75a4a9.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6746,Ангус с Лисичками Двойной729.99 ₽ Заказать,729.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/d27134ee1b64edfc9f6f4274268cb7dd.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
438,Чикен Жюльен359.99 ₽ Заказать,359.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/5650089917f65a9b56c19af6ce68cf19.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
442,Чикен Ролл Жюльен349.99 ₽ Заказать,349.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/59e93494d7cfb8a8b7e3d0e2d4f1e8f4.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
443,Шримп Ролл Жюльен429.99 ₽ Заказать,429.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/d875fc8824e79cc1525b983bfe65516a.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
436,Воппер Жюльен364.99 ₽ Заказать,364.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/77b97bb10cc6397f32f744ac7abd87e9.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
437,Двойной Воппер Жюльен509.99 ₽ Заказать,509.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/group/20ea669fc1ac6d5266f17c3ea9d51c6e.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8265,Пирожок Черника159.99 ₽ Заказать,159.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/26635ba693ba55b126f6e79e48fd5e08.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
7802,Пунш Апельсин-Лайм99.99 ₽ Заказать,99.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/95e040b8cd5bc40234100d7fb300ba8f.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
